<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.02	16:15:00	125985	126025	125925	125985	21826	83493	5
2024.12.02	16:20:00	125990	125995	125845	125885	26286	99017	5
2024.12.02	16:25:00	125880	125965	125875	125935	18139	70488	5
2024.12.02	16:30:00	125935	125990	125895	125970	21316	80720	5
2024.12.02	16:35:00	125970	126045	125930	125975	19907	75120	5
2024.12.02	16:40:00	125975	126005	125940	125970	11533	40354	5
2024.12.02	16:45:00	125975	126020	125920	126010	14861	55594	5
2024.12.02	16:50:00	126010	126010	125885	125915	16400	64538	5
2024.12.02	16:55:00	125915	125955	125885	125905	13441	59060	5
2024.12.02	17:00:00	125900	126000	125830	125855	28861	114413	5
2024.12.02	17:05:00	125850	125925	125830	125885	20996	79150	5
2024.12.02	17:10:00	125880	125940	125870	125910	11081	41121	5
2024.12.02	17:15:00	125915	126080	125910	126010	36921	130704	5
2024.12.02	17:20:00	126010	126015	125955	125985	15942	52055	5
2024.12.02	17:25:00	125990	126010	125910	125930	19096	66881	5
2024.12.02	17:30:00	125930	126025	125920	125995	18158	70856	5
2024.12.02	17:35:00	126000	126005	125870	125900	16243	59502	5
2024.12.02	17:40:00	125900	125945	125885	125930	15271	61840	5
2024.12.02	17:45:00	125925	125975	125890	125960	12900	42394	5
2024.12.02	17:50:00	125955	125965	125820	125865	20140	71270	5
2024.12.02	17:55:00	125860	125865	125680	125730	32693	106796	5
2024.12.02	18:00:00	125735	125755	125610	125635	23782	69629	5
2024.12.02	18:05:00	125635	125690	125550	125610	29208	84628	5
2024.12.02	18:10:00	125605	125720	125575	125635	21130	60015	5
2024.12.02	18:15:00	125640	125695	125600	125640	12659	40661	5
2024.12.02	18:20:00	125645	125710	125585	125600	5927	28793	5
2024.12.03	09:00:00	126155	126295	125700	126285	150392	385404	5
2024.12.03	09:05:00	126285	126440	126170	126360	93086	263581	5
2024.12.03	09:10:00	126360	126435	126185	126245	72250	211934	5
2024.12.03	09:15:00	126245	126315	126075	126120	69536	214803	5
2024.12.03	09:20:00	126125	126180	125965	126140	80466	269596	5
2024.12.03	09:25:00	126140	126210	126075	126140	49723	165220	5
2024.12.03	09:30:00	126140	126150	125900	126010	77070	238315	5
2024.12.03	09:35:00	126005	126015	125815	125875	66936	227595	5
2024.12.03	09:40:00	125870	125965	125820	125960	41719	140850	5
2024.12.03	09:45:00	125955	125990	125855	125905	48345	161028	5
2024.12.03	09:50:00	125900	125965	125780	125820	56876	182261	5
2024.12.03	09:55:00	125820	126000	125800	125985	49204	164546	5
2024.12.03	10:00:00	125985	126055	125800	125905	97892	330139	5
2024.12.03	10:05:00	125900	126190	125870	126130	93157	313269	5
2024.12.03	10:10:00	126125	126695	126065	126640	150766	524991	5
2024.12.03	10:15:00	126640	126750	126555	126700	86590	296483	5
2024.12.03	10:20:00	126700	126825	126610	126650	84393	299985	5
2024.12.03	10:25:00	126650	126680	126410	126470	77929	273457	5
2024.12.03	10:30:00	126465	126555	126270	126340	82938	282621	5
2024.12.03	10:35:00	126335	126410	126270	126305	52940	189295	5
2024.12.03	10:40:00	126305	126500	126255	126355	72206	251455	5
2024.12.03	10:45:00	126355	126385	126050	126080	75384	268424	5
2024.12.03	10:50:00	126080	126245	126060	126210	67460	250153	5
2024.12.03	10:55:00	126210	126415	126175	126355	64377	229256	5
2024.12.03	11:00:00	126355	126370	126140	126230	68051	241308	5
2024.12.03	11:05:00	126230	126390	126155	126375	53812	189703	5
2024.12.03	11:10:00	126375	126430	126265	126405	54506	179928	5
2024.12.03	11:15:00	126400	126435	126245	126290	52586	175160	5
2024.12.03	11:20:00	126295	126335	126110	126145	67927	229029	5
2024.12.03	11:25:00	126145	126225	126040	126070	66080	228152	5
2024.12.03	11:30:00	126070	126260	126060	126150	82126	290804	5
2024.12.03	11:35:00	126145	126150	125890	125980	79801	283510	5
2024.12.03	11:40:00	125980	126195	125905	126180	60603	215783	5
2024.12.03	11:45:00	126180	126320	126145	126200	59213	218264	5
2024.12.03	11:50:00	126200	126290	126135	126205	54798	193387	5
2024.12.03	11:55:00	126205	126245	126110	126215	36284	125235	5
2024.12.03	12:00:00	126215	126220	125885	126050	71733	260786	5
2024.12.03	12:05:00	126050	126130	125935	126065	51975	177994	5
2024.12.03	12:10:00	126070	126250	126060	126080	59064	205727	5
2024.12.03	12:15:00	126085	126180	126030	126100	47384	162314	5
2024.12.03	12:20:00	126105	126220	126050	126200	38390	135581	5
2024.12.03	12:25:00	126200	126260	126015	126020	49144	171074	5
2024.12.03	12:30:00	126025	126090	125980	126075	40159	140153	5
2024.12.03	12:35:00	126075	126130	125980	126030	34017	117172	5
2024.12.03	12:40:00	126030	126070	125945	126020	28577	98128	5
