<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.01	14:45:00	118510	118835	118420	118690	145648	438149	5
2022.11.01	15:00:00	118685	119580	118620	119370	232699	729528	5
2022.11.01	15:15:00	119365	119485	119145	119380	112262	339364	5
2022.11.01	15:30:00	119380	119465	119055	119130	95324	266094	5
2022.11.01	15:45:00	119125	119335	118900	119285	133871	380352	5
2022.11.01	16:00:00	119290	119410	119090	119165	84672	244752	5
2022.11.01	16:15:00	119165	119250	119025	119140	72540	205254	5
2022.11.01	16:30:00	119135	119920	118360	118590	320732	875975	5
2022.11.01	16:45:00	118585	119090	118000	118865	265558	684157	5
2022.11.01	17:00:00	118855	118910	118120	118375	167202	410075	5
2022.11.01	17:15:00	118370	118480	117330	117735	188177	439525	5
2022.11.01	17:30:00	117735	118235	117570	117610	137593	270755	5
2022.11.01	17:45:00	117610	117645	116985	117410	56206	132588	5
2022.11.03	09:00:00	115865	116365	115590	115760	181193	456239	5
2022.11.03	09:15:00	115755	115865	115490	115685	127842	330018	5
2022.11.03	09:30:00	115680	115980	115495	115815	157177	400419	5
2022.11.03	09:45:00	115815	117190	115640	116725	350485	945237	5
2022.11.03	10:00:00	116725	116875	116215	116460	226350	580989	5
2022.11.03	10:15:00	116455	116525	115805	116250	215032	537700	5
2022.11.03	10:30:00	116255	117495	116100	117355	336172	856461	5
2022.11.03	10:45:00	117355	117370	116745	116775	208113	530742	5
2022.11.03	11:00:00	116775	117025	116350	116830	257358	659016	5
2022.11.03	11:15:00	116830	117765	116815	117545	223322	640903	5
2022.11.03	11:30:00	117550	117715	117185	117450	222151	625370	5
2022.11.03	11:45:00	117455	118035	117345	117955	187202	558255	5
2022.11.03	12:00:00	117960	118140	117700	117915	154821	466554	5
2022.11.03	12:15:00	117920	117955	117725	117855	97565	278590	5
2022.11.03	12:30:00	117860	118160	117705	118025	122444	347779	5
2022.11.03	12:45:00	118025	118190	117880	118110	97915	285644	5
2022.11.03	13:00:00	118105	118280	117880	117985	110462	331746	5
2022.11.03	13:15:00	117985	118140	117850	118055	88891	267329	5
2022.11.03	13:30:00	118060	118115	117905	118075	78316	231572	5
2022.11.03	13:45:00	118070	118675	118020	118605	131249	405391	5
2022.11.03	14:00:00	118605	118740	118400	118615	124508	377161	5
2022.11.03	14:15:00	118610	118690	118490	118595	82355	255545	5
2022.11.03	14:30:00	118590	118620	118415	118465	69265	219349	5
2022.11.03	14:45:00	118465	118750	118335	118410	142581	474677	5
2022.11.03	15:00:00	118415	118580	118300	118455	123659	409367	5
2022.11.03	15:15:00	118455	118675	118400	118550	87494	276645	5
2022.11.03	15:30:00	118545	118695	118400	118570	102434	336165	5
2022.11.03	15:45:00	118565	118940	118550	118790	126404	405510	5
2022.11.03	16:00:00	118785	118970	118705	118835	87655	282713	5
2022.11.03	16:15:00	118835	118945	118655	118765	81074	251116	5
2022.11.03	16:30:00	118760	118785	118495	118675	104062	364574	5
2022.11.03	16:45:00	118670	118680	118325	118410	107506	351131	5
2022.11.03	17:00:00	118405	118720	118280	118605	99957	308449	5
2022.11.03	17:15:00	118615	118850	118515	118680	83977	247300	5
2022.11.03	17:30:00	118680	118775	118345	118630	76571	200491	5
2022.11.03	17:45:00	118630	118720	118425	118465	29470	86216	5
2022.11.04	09:00:00	120115	120480	119865	120430	202458	462700	5
2022.11.04	09:15:00	120430	120560	120000	120205	187766	422234	5
2022.11.04	09:30:00	120205	120400	119620	120235	327099	639293	5
2022.11.04	09:45:00	120230	120800	120135	120735	257492	609303	5
2022.11.04	10:00:00	120735	121445	120650	121250	265167	648720	5
2022.11.04	10:15:00	121255	121545	121000	121055	200714	535162	5
2022.11.04	10:30:00	121060	121240	119660	119685	341590	968511	5
2022.11.04	10:45:00	119690	120440	119520	120225	303833	831337	5
2022.11.04	11:00:00	120225	120400	119955	120260	239132	664885	5
2022.11.04	11:15:00	120265	120325	119785	120280	245406	682410	5
2022.11.04	11:30:00	120275	120960	120185	120830	246698	725064	5
2022.11.04	11:45:00	120830	121385	120500	121270	242446	740669	5
2022.11.04	12:00:00	121270	121605	121215	121355	213460	650589	5
2022.11.04	12:15:00	121355	121545	121150	121335	155203	464284	5
2022.11.04	12:30:00	121335	121480	120960	121040	140738	420912	5
2022.11.04	12:45:00	121040	121050	120665	120700	149638	460092	5
2022.11.04	13:00:00	120700	120820	120490	120785	145348	441676	5
2022.11.04	13:15:00	120785	120885	120535	120665	118372	356659	5
2022.11.04	13:30:00	120665	120815	120540	120630	108700	338374	5
2022.11.04	13:45:00	120630	120680	120125	120260	155134	473594	5
2022.11.04	14:00:00	120265	120415	120095	120210	139899	423149	5
2022.11.04	14:15:00	120205	120480	119975	120260	157331	492046	5
2022.11.04	14:30:00	120260	120355	120050	120090	120033	363431	5
2022.11.04	14:45:00	120085	120455	120035	120320	127794	406906	5
2022.11.04	15:00:00	120325	120365	119855	119950	139184	442916	5
2022.11.04	15:15:00	119945	120230	119885	120145	134380	434744	5
2022.11.04	15:30:00	120150	120415	120065	120415	130715	434491	5
2022.11.04	15:45:00	120410	120420	120155	120240	108303	347458	5
2022.11.04	16:00:00	120240	120240	119730	119795	137877	483669	5
2022.11.04	16:15:00	119800	119935	119680	119885	116046	393984	5
2022.11.04	16:30:00	119885	120180	119825	120095	119133	395853	5
2022.11.04	16:45:00	120095	120150	119550	119710	155644	505768	5
2022.11.04	17:00:00	119710	119730	119240	119415	136345	389699	5
2022.11.04	17:15:00	119415	119705	119415	119625	61949	171358	5
2022.11.04	17:30:00	119625	120090	119275	119310	110274	263465	5
2022.11.04	17:45:00	119310	119430	118900	119270	55350	121616	5
2022.11.07	09:00:00	120045	120280	118730	119130	263545	602826	5
2022.11.07	09:15:00	119135	119440	118965	119105	160545	370820	5
2022.11.07	09:30:00	119100	119270	118650	118685	206578	495416	5
2022.11.07	09:45:00	118690	118915	118455	118655	203683	520072	5
2022.11.07	10:00:00	118660	119290	118540	119150	265608	703365	5
2022.11.07	10:15:00	119155	119550	119080	119150	238311	643588	5
2022.11.07	10:30:00	119155	119400	118990	119065	201980	563412	5
2022.11.07	10:45:00	119065	119490	119030	119345	211954	564448	5
2022.11.07	11:00:00	119345	119720	119125	119270	192729	525996	5
2022.11.07	11:15:00	119265	119700	119100	119280	201518	576831	5
2022.11.07	11:30:00	119280	119580	119015	119050	250095	729314	5
