<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.02	106110	106260	104430	104500	5245902	17072464	5
2023.03.03	104820	105775	104555	104940	4413802	15105975	5
2023.03.06	104800	106450	104310	105980	4567796	15432070	5
2023.03.07	106055	106350	104615	105595	4892674	15858663	5
2023.03.08	105740	108000	105425	108000	4461355	15261906	5
2023.03.09	107650	107970	105850	105905	5200056	17764412	5
2023.03.10	106025	106150	104155	104750	5785627	18512735	5
2023.03.13	104550	104925	103135	104230	6542440	20134542	5
2023.03.14	104650	105145	103385	103940	5371469	17180957	5
2023.03.15	102700	103935	101485	103650	6038551	18632052	5
2023.03.16	103590	104775	103220	104380	4939052	15435230	5
2023.03.17	104275	104335	102335	102630	3773339	12877842	5
2023.03.20	102760	103080	101315	101640	4227614	14293302	5
2023.03.21	102430	102500	101535	101840	3658877	12275153	5
2023.03.22	101750	102650	100675	100675	4616795	15030610	5
2023.03.23	100755	101780	97440	97555	5052370	16692623	5
2023.03.24	97350	99870	97250	99540	4554369	15650145	5
2023.03.27	99955	100525	99525	100400	3965708	12768793	5
2023.03.28	100100	102065	99770	101900	3618676	12568928	5
2023.03.29	102250	102675	100560	102385	4571873	15447270	5
2023.03.30	103680	104535	103030	104450	4474999	14229652	5
2023.03.31	104000	104675	101670	101895	4701663	15450971	5
2023.04.03	102240	102500	100860	101780	4187748	14284286	5
2023.04.04	102185	103320	101780	102305	4264795	14901985	5
2023.04.05	102155	102355	100055	100880	4798220	16719091	5
2023.04.06	101000	101720	100505	101330	3924166	13045537	5
2023.04.10	101130	102350	100845	102115	3629218	12514558	5
2023.04.11	102500	106910	102440	106670	5000842	16568733	5
2023.04.12	108505	110480	108185	108900	4935319	15630331	5
2023.04.13	109000	109400	108215	108350	4349592	13913833	5
2023.04.14	108250	108935	106765	108800	4579704	14758874	5
2023.04.17	108880	108900	107545	107930	4047927	13810002	5
2023.04.18	108420	109375	106925	107800	4332404	15351955	5
2023.04.19	106930	107150	105315	105850	4294149	14322098	5
2023.04.20	105500	106420	104735	106140	4209709	14189001	5
2023.04.24	105650	106585	104855	105785	3874315	13057161	5
2023.04.25	105375	105510	104175	105510	4201727	13933826	5
2023.04.26	105165	105865	103750	104220	3784543	13017439	5
2023.04.27	104455	104700	103425	104455	4052723	13468748	5
2023.04.28	104200	105970	103875	105250	4042407	13801594	5
2023.05.02	105175	105575	102900	102900	4030371	13743189	5
2023.05.03	103190	103765	102725	103100	4681151	15510378	5
2023.05.04	103150	104800	102320	104355	4892992	16924831	5
2023.05.05	104100	106945	103755	106580	4524454	15330440	5
2023.05.08	107100	108035	106545	107020	4406173	15217819	5
2023.05.09	106800	109055	106570	108700	4086456	14687061	5
2023.05.10	108250	109000	107590	108885	4200631	14443038	5
2023.05.11	108315	109930	107465	109300	4251375	15446774	5
2023.05.12	109300	109900	108435	109650	3863370	13534981	5
2023.05.15	110100	110375	109345	110125	3769771	12777001	5
2023.05.16	109850	111250	108770	109050	4311556	16042390	5
2023.05.17	109400	110815	109150	110695	4407238	15416756	5
2023.05.18	110450	111270	109550	111140	4193331	15174470	5
2023.05.19	111080	112125	110585	111450	4042417	14900013	5
2023.05.22	111250	112550	110835	111255	4261090	14547005	5
2023.05.23	110870	112150	110430	111095	4536631	16519457	5
2023.05.24	110665	111075	109160	109930	4097909	14801225	5
2023.05.25	110295	111880	110200	110655	4753324	16370477	5
2023.05.26	111300	112405	110390	111520	4553316	16279227	5
2023.05.29	111800	111925	110650	110865	3360166	10825378	5
2023.05.30	111175	111980	109055	109320	4480114	15427355	5
2023.05.31	108930	109665	108675	108805	4376808	15347464	5
2023.06.01	109540	111580	108715	111575	4488606	15686602	5
2023.06.02	111880	113475	111805	113200	3986416	13826100	5
2023.06.05	112950	113500	112005	113030	3616308	12665261	5
2023.06.06	112815	115300	112800	115300	4366288	15390964	5
2023.06.07	115600	116270	114870	116085	4334426	15008118	5
2023.06.09	116360	117840	116340	117145	3719652	13063160	5
2023.06.12	117450	118040	116815	117790	3886065	13591159	5
2023.06.13	117950	118215	116425	117180	4239357	14367994	5
2023.06.14	119900	121750	119645	121330	5192112	17215006	5
2023.06.15	120850	122255	120830	121855	4286436	13814088	5
2023.06.16	121850	122065	120760	121075	3871377	12869350	5
2023.06.19	121040	122485	120830	122480	3587375	11349542	5
2023.06.20	122060	122100	120720	122000	4367298	14182522	5
2023.06.21	121950	122870	121540	122725	4389027	14287683	5
2023.06.22	121795	122315	120180	121510	4758105	15482262	5
2023.06.23	120900	121595	120310	121215	4436676	14583918	5
2023.06.26	120960	121155	119500	119950	4169485	13721650	5
2023.06.27	120635	121400	118545	119435	5066896	16345959	5
2023.06.28	119650	119950	118450	118570	4863165	15761490	5
2023.06.29	119115	120780	118375	120765	4403091	14288774	5
2023.06.30	120860	121550	119450	119500	4782638	15515856	5
2023.07.03	119985	121740	119900	121640	3956509	12620448	5
2023.07.04	121440	121590	120485	120895	3891204	12410101	5
2023.07.05	120370	121985	119730	121170	4863739	16184123	5
2023.07.06	121000	121005	118650	119150	4938673	15972795	5
2023.07.07	119585	121215	119200	120120	4519976	14590542	5
2023.07.10	119930	120300	119015	119105	4338599	14310644	5
2023.07.11	119720	119800	117030	119200	4780985	15833158	5
2023.07.12	119505	120475	118675	118800	4970803	15322576	5
2023.07.13	119395	121175	119310	120470	4462984	13609089	5
2023.07.14	120730	120965	118760	118960	4401857	14033918	5
2023.07.17	118700	119695	117810	119575	4382025	13920375	5
2023.07.18	119500	119960	118400	118970	5039285	16268282	5
2023.07.19	119150	119260	117685	118650	4769444	15535172	5
2023.07.20	118950	119485	118440	119345	4580979	14877581	5
2023.07.21	119100	121530	118835	121530	4617765	15659452	5
2023.07.24	121220	122810	121000	122715	4743761	15133963	5
2023.07.25	123155	124260	122755	122850	4595873	14915737	5
2023.07.26	122650	123695	122220	123175	4899263	15237917	5
2023.07.27	123655	123875	120090	120220	4856026	16048917	5
2023.07.28	120810	121765	120405	120720	4107036	13364643	5
2023.07.31	121390	122875	121205	122655	4137386	13541002	5
2023.08.01	122225	122240	120725	121620	4689718	15957846	5
2023.08.02	121030	121850	120265	121145	4940114	16571610	5
2023.08.03	122240	123165	120600	120705	5771784	19282399	5
2023.08.04	120680	121935	119540	119880	5879826	20179400	5
2023.08.07	120160	120495	119230	119530	4803999	15450774	5
2023.08.08	118675	119885	117615	119250	5147964	16655418	5
2023.08.09	119740	119740	118095	118620	5070931	17351600	5
2023.08.10	119100	119695	118090	118090	4912495	16501203	5
2023.08.11	118350	119260	117550	118290	4792807	16541002	5
2023.08.14	118170	118230	116645	116710	4704275	15891574	5
2023.08.15	116070	117700	115665	115765	5276749	17743934	5
2023.08.16	118440	119660	117555	117820	4876586	16616968	5
2023.08.17	118560	118860	116985	117250	4845278	16523833	5
2023.08.18	116990	117900	116585	117265	4719604	16108385	5
2023.08.21	117845	117855	116100	116120	4712619	16153061	5
2023.08.22	116800	118390	116600	118340	4521408	15736979	5
2023.08.23	118810	120500	118260	120440	4030587	14214609	5
2023.08.24	120095	120200	118720	119120	4349017	15506031	5
2023.08.25	119025	119210	117250	117700	5077880	16398061	5
2023.08.28	117995	119185	117560	119040	4506074	15257407	5
2023.08.29	118920	120360	118825	120075	4306027	14375830	5
2023.08.30	119915	120595	119090	119230	4251834	14029812	5
2023.08.31	119300	119575	117380	117740	4558889	15253913	5
2023.09.01	118400	119615	117800	119065	4106971	13165812	5
2023.09.04	119300	120135	119045	119435	3611824	11184567	5
2023.09.05	119055	119475	118065	119050	4897968	16674442	5
2023.09.06	118900	119400	117240	117360	4558333	15765456	5
2023.09.08	116320	116965	116030	116600	3667426	12422429	5
2023.09.11	117415	118545	116945	118540	4271752	14975492	5
2023.09.12	118540	119490	118290	119035	4178590	14879510	5
2023.09.13	118955	120655	118760	119495	4489960	15662265	5
2023.09.14	120100	120945	119920	120380	4329638	15363893	5
2023.09.15	120750	120980	119755	119985	3904531	14137207	5
2023.09.18	119750	120585	119160	119590	4110542	14702164	5
2023.09.19	119680	119715	118620	118850	4471861	16706060	5
2023.09.20	119035	120700	118970	119530	4528975	17011184	5
2023.09.21	118700	118715	116805	116885	5006705	17787193	5
2023.09.22	117460	117995	116635	117110	4120142	15385027	5
2023.09.25	116400	117130	116175	117005	3775526	13538750	5
2023.09.26	116550	116745	114685	114805	4535078	17016650	5
2023.09.27	115400	115995	113985	114970	4701260	17250284	5
2023.09.28	115000	116620	114695	116570	5021479	17370812	5
2023.09.29	116965	117730	116410	117225	4602605	16242065	5
2023.10.02	117000	117295	115230	115580	4455364	16238939	5
2023.10.03	115000	115525	113555	113620	5242429	18887900	5
2023.10.04	114290	114580	113420	113780	4968254	17412423	5
2023.10.05	114000	114720	113030	113750	4767676	16691112	5
2023.10.06	113800	114795	111860	114700	6020766	20323637	5
2023.10.09	113620	115695	113440	115690	4726676	16853526	5
2023.10.10	115900	117180	115745	116760	4435123	15981873	5
2023.10.11	117295	117695	116385	117405	4517606	16081999	5
2023.10.13	116300	117185	115685	115875	4634014	16105059	5
2023.10.16	116400	117035	116095	116420	4561649	15965669	5
2023.10.17	116140	116970	115560	115720	4874186	17538195	5
2023.10.18	117150	117400	115700	115750	4808053	17778174	5
2023.10.19	115650	116920	115555	115675	5777609	20984495	5
2023.10.20	115470	115825	114190	114770	5089468	19331478	5
2023.10.23	114290	115375	113785	114615	5266535	18819558	5
2023.10.24	115395	115860	114355	115450	5533532	19966545	5
2023.10.25	115400	115695	114180	114310	5227366	18272696	5
2023.10.26	113820	116755	113680	116720	5941031	20297000	5
2023.10.27	116665	116860	114340	114960	5660851	20495892	5
2023.10.30	115550	115910	113600	113800	5120808	18556407	5
2023.10.31	114250	114980	113415	114670	5463260	19838003	5
