<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.18	16:00:00	130775	130875	130515	130535	173736	661543	5
2025.02.18	17:00:00	130530	130715	130310	130575	258544	964115	5
2025.02.18	18:00:00	130570	130805	130520	130770	62561	209394	5
2025.02.19	09:00:00	130600	130620	129475	129575	696253	2200650	5
2025.02.19	10:00:00	129580	130125	129450	130100	576691	1973500	5
2025.02.19	11:00:00	130100	130160	129625	129810	516539	1802859	5
2025.02.19	12:00:00	129815	130035	129755	129885	282295	1046986	5
2025.02.19	13:00:00	129880	129975	129655	129675	230818	822672	5
2025.02.19	14:00:00	129675	129700	129470	129550	255415	925885	5
2025.02.19	15:00:00	129550	129610	129315	129365	203824	786054	5
2025.02.19	16:00:00	129365	129545	129245	129255	220446	846052	5
2025.02.19	17:00:00	129255	129495	129150	129450	182275	681192	5
2025.02.19	18:00:00	129455	129590	129335	129390	67559	266446	5
2025.02.20	09:00:00	129700	129900	129475	129665	555197	1668108	5
2025.02.20	10:00:00	129665	129695	129095	129425	680662	2191737	5
2025.02.20	11:00:00	129425	130000	129305	129805	592544	2076160	5
2025.02.20	12:00:00	129805	129980	129450	129455	340682	1222670	5
2025.02.20	13:00:00	129455	129590	129210	129355	267297	973787	5
2025.02.20	14:00:00	129350	129610	129265	129410	232607	874635	5
2025.02.20	15:00:00	129410	129495	129235	129390	181921	712105	5
2025.02.20	16:00:00	129395	129560	129345	129510	160750	592722	5
2025.02.20	17:00:00	129510	129855	129500	129755	176159	632082	5
2025.02.20	18:00:00	129760	129770	129415	129470	49087	191276	5
2025.02.21	09:00:00	129520	129710	129310	129560	452615	1287411	5
2025.02.21	10:00:00	129560	129750	129140	129440	673312	2114496	5
2025.02.21	11:00:00	129445	129465	128920	129070	541506	1833521	5
2025.02.21	12:00:00	129065	129170	128760	128910	299408	1035299	5
2025.02.21	13:00:00	128910	129165	128790	129010	243328	818136	5
2025.02.21	14:00:00	129015	129345	129010	129095	269126	902115	5
2025.02.21	15:00:00	129095	129165	128445	128700	383594	1344379	5
2025.02.21	16:00:00	128705	128990	128685	128875	220254	767539	5
2025.02.21	17:00:00	128875	129245	128765	129170	174888	605629	5
2025.02.21	18:00:00	129170	129290	129145	129160	51712	173970	5
2025.02.24	09:00:00	129435	129775	129310	129585	518080	1528426	5
2025.02.24	10:00:00	129580	129650	128845	129010	782623	2548982	5
2025.02.24	11:00:00	129005	129265	128745	128790	612301	2068290	5
2025.02.24	12:00:00	128790	128825	128455	128565	323608	1110803	5
2025.02.24	13:00:00	128565	128640	128250	128260	303859	1053936	5
2025.02.24	14:00:00	128260	128300	127815	127830	315810	1111603	5
2025.02.24	15:00:00	127825	127950	127685	127710	266190	1026477	5
2025.02.24	16:00:00	127705	127765	127145	127210	252650	999067	5
2025.02.24	17:00:00	127210	127455	127065	127310	280095	1046257	5
2025.02.24	18:00:00	127315	127550	127280	127550	50497	213915	5
2025.02.25	09:00:00	127620	128080	127620	127755	644667	1904867	5
2025.02.25	10:00:00	127755	128285	127540	128045	782095	2427608	5
2025.02.25	11:00:00	128040	128750	127945	128515	653951	2151037	5
2025.02.25	12:00:00	128510	128525	128225	128375	347986	1123648	5
2025.02.25	13:00:00	128375	128640	127860	127970	419450	1436813	5
2025.02.25	14:00:00	127965	128135	127905	128015	251879	883832	5
2025.02.25	15:00:00	128015	128345	127980	128130	299788	1149079	5
2025.02.25	16:00:00	128135	128290	128005	128185	222812	840592	5
2025.02.25	17:00:00	128185	128285	127885	127900	200837	726066	5
2025.02.25	18:00:00	127905	128055	127720	127815	71392	252117	5
2025.02.26	09:00:00	128320	129135	128250	129090	664996	1937511	5
2025.02.26	10:00:00	129085	129125	127490	127555	883282	2843054	5
2025.02.26	11:00:00	127555	127775	126905	127185	654503	2128211	5
2025.02.26	12:00:00	127190	127455	127060	127370	347453	1148376	5
2025.02.26	13:00:00	127370	127515	127255	127335	247991	835646	5
2025.02.26	14:00:00	127335	127385	126950	126995	304330	1035143	5
2025.02.26	15:00:00	127000	127215	126815	127105	273329	978903	5
2025.02.26	16:00:00	127105	127145	126850	126930	223448	802456	5
2025.02.26	17:00:00	126930	127095	126555	126660	247665	846503	5
2025.02.26	18:00:00	126655	126885	126545	126885	61766	218395	5
2025.02.27	09:00:00	126100	126365	125850	126255	575471	1592451	5
2025.02.27	10:00:00	126250	126580	126120	126325	673717	2141796	5
2025.02.27	11:00:00	126320	126600	126110	126320	574438	1937398	5
2025.02.27	12:00:00	126320	126640	126170	126430	374240	1229984	5
2025.02.27	13:00:00	126430	126475	126215	126395	277724	933330	5
2025.02.27	14:00:00	126400	126810	126400	126690	296263	990868	5
2025.02.27	15:00:00	126695	127275	126640	127180	327396	1159636	5
2025.02.27	16:00:00	127180	127305	126905	127045	262433	936776	5
2025.02.27	17:00:00	127045	127050	126270	126380	363380	1299379	5
2025.02.27	18:00:00	126375	126575	126320	126515	63003	213909	5
2025.02.28	09:00:00	126390	126400	125795	126035	472547	1405062	5
2025.02.28	10:00:00	126040	126645	125965	126250	636549	1975788	5
2025.02.28	11:00:00	126250	126400	125630	125850	661053	2180965	5
2025.02.28	12:00:00	125855	126220	125760	126050	359806	1211376	5
2025.02.28	13:00:00	126050	126115	125285	125305	364193	1253159	5
2025.02.28	14:00:00	125300	125425	124910	125000	325151	1179269	5
2025.02.28	15:00:00	125000	125000	124295	124465	402117	1495261	5
2025.02.28	16:00:00	124470	124795	124455	124670	250865	875317	5
2025.02.28	17:00:00	124670	124940	124590	124775	261172	868586	5
2025.02.28	18:00:00	124775	124935	124480	124850	93988	308343	5
2025.03.05	13:00:00	125190	125300	124535	124775	576522	1872872	5
2025.03.05	14:00:00	124770	124935	124495	124695	372208	1256658	5
2025.03.05	15:00:00	124695	124810	124425	124730	352323	1218196	5
2025.03.05	16:00:00	124730	124900	124665	124740	236262	852831	5
2025.03.05	17:00:00	124745	125050	124565	124790	282760	935080	5
2025.03.05	18:00:00	124790	124945	124660	124800	65623	198643	5
2025.03.06	09:00:00	124490	125215	124370	125165	669701	2023426	5
2025.03.06	10:00:00	125170	125170	124530	124700	678095	2217168	5
2025.03.06	11:00:00	124705	124945	124220	124625	660903	2171661	5
2025.03.06	12:00:00	124630	125810	124615	125120	720913	2371778	5
2025.03.06	13:00:00	125120	125570	124730	125075	545787	1773545	5
2025.03.06	14:00:00	125070	125390	124845	124865	342080	1120035	5
2025.03.06	15:00:00	124865	125335	124760	124960	373458	1247894	5
2025.03.06	16:00:00	124960	124975	124395	124590	406496	1188073	5
2025.03.06	17:00:00	124595	125125	124560	124970	291493	818889	5
2025.03.06	18:00:00	124970	125080	124855	125060	58531	184788	5
2025.03.07	09:00:00	125155	125280	124015	124065	690428	1977791	5
2025.03.07	10:00:00	124065	124545	123705	124540	768790	2359777	5
2025.03.07	11:00:00	124545	125830	124485	125780	911762	2863012	5
2025.03.07	12:00:00	125780	126600	125740	126365	591148	1939337	5
2025.03.07	13:00:00	126355	126435	125930	126030	295295	872712	5
2025.03.07	14:00:00	126030	126560	125970	126275	375327	1172665	5
2025.03.07	15:00:00	126280	126970	126250	126890	382049	1276184	5
2025.03.07	16:00:00	126895	127460	126895	127220	390355	1412743	5
2025.03.07	17:00:00	127220	127220	126690	126845	333063	1096776	5
2025.03.07	18:00:00	126845	126855	126500	126695	96389	307682	5
2025.03.10	09:00:00	126050	126210	125240	125460	663888	2053622	5
2025.03.10	10:00:00	125460	125825	125300	125365	839409	2702378	5
2025.03.10	11:00:00	125370	125535	124895	125385	698650	2325990	5
2025.03.10	12:00:00	125385	126355	125335	125875	555668	1894898	5
2025.03.10	13:00:00	125875	126285	125860	126055	359708	1182069	5
2025.03.10	14:00:00	126050	126190	125620	125675	380989	1295158	5
2025.03.10	15:00:00	125670	125885	125380	125415	393111	1401996	5
2025.03.10	16:00:00	125410	125925	125220	125805	427663	1526761	5
2025.03.10	17:00:00	125810	126035	125740	125845	214502	737340	5
2025.03.10	18:00:00	125840	125965	125800	125865	36814	106242	5
2025.03.11	09:00:00	126260	126325	125670	125800	635954	1878625	5
2025.03.11	10:00:00	125800	125980	124960	125085	1063423	3379277	5
2025.03.11	11:00:00	125080	125220	124490	124585	680582	2193855	5
2025.03.11	12:00:00	124585	124725	124425	124490	398667	1359381	5
2025.03.11	13:00:00	124485	124510	124085	124190	344582	1233099	5
2025.03.11	14:00:00	124190	124370	123965	124325	356495	1263058	5
2025.03.11	15:00:00	124325	125025	124285	125000	469956	1664223	5
2025.03.11	16:00:00	125000	125225	124775	124805	421761	1540451	5
2025.03.11	17:00:00	124805	125200	124785	125090	189067	656315	5
2025.03.11	18:00:00	125085	125200	125015	125160	48792	130349	5
2025.03.12	09:00:00	125300	125775	124435	125005	920309	2594224	5
2025.03.12	10:00:00	125010	125410	124695	125115	817784	2476248	5
2025.03.12	11:00:00	125110	125135	124550	124740	526708	1695309	5
2025.03.12	12:00:00	124740	125135	124700	125025	403992	1390744	5
2025.03.12	13:00:00	125030	125350	124860	124945	392246	1318927	5
2025.03.12	14:00:00	124945	125030	124360	124395	403125	1369228	5
2025.03.12	15:00:00	124395	125200	124385	124750	483634	1710370	5
2025.03.12	16:00:00	124750	125390	124720	125230	331864	1173273	5
2025.03.12	17:00:00	125230	125300	125040	125150	165888	575497	5
2025.03.12	18:00:00	125160	125260	125025	125025	34886	95563	5
2025.03.13	09:00:00	124825	125770	124655	125535	634651	1889633	5
2025.03.13	10:00:00	125535	125650	124820	125090	825908	2734512	5
2025.03.13	11:00:00	125090	126770	125040	126665	716497	2559051	5
2025.03.13	12:00:00	126660	126895	126425	126780	394266	1417059	5
2025.03.13	13:00:00	126775	127100	126745	126970	294546	1060566	5
2025.03.13	14:00:00	126965	127130	126785	126825	261101	918503	5
2025.03.13	15:00:00	126820	127065	126810	127015	201007	761636	5
2025.03.13	16:00:00	127015	127165	126960	127135	212255	810727	5
2025.03.13	17:00:00	127135	127145	126880	126905	159731	593454	5
2025.03.13	18:00:00	126905	127190	126885	127070	62185	182194	5
2025.03.14	09:00:00	127420	127870	127355	127735	585459	1707169	5
2025.03.14	10:00:00	127735	128340	127585	128295	785358	2547153	5
2025.03.14	11:00:00	128295	129550	128065	129505	618755	2221362	5
2025.03.14	12:00:00	129500	130130	129490	130085	362592	1422373	5
2025.03.14	13:00:00	130080	130300	129785	130010	302814	1146140	5
2025.03.14	14:00:00	130010	130120	129740	129830	266884	990555	5
2025.03.14	15:00:00	129830	130215	129745	130105	260115	1025918	5
2025.03.14	16:00:00	130110	130550	130095	130325	291904	1164039	5
2025.03.14	17:00:00	130325	130410	130125	130240	160143	624923	5
2025.03.14	18:00:00	130235	130270	130015	130085	38054	154926	5
2025.03.17	09:00:00	130085	130795	129890	130435	688874	1966071	5
2025.03.17	10:00:00	130435	130825	130200	130575	797397	2467198	5
2025.03.17	11:00:00	130575	131360	130525	131135	598292	1866120	5
2025.03.17	12:00:00	131130	132160	131125	132030	454418	1562072	5
2025.03.17	13:00:00	132030	132250	131880	132010	269108	875552	5
2025.03.17	14:00:00	132010	132380	131930	132320	269565	883892	5
2025.03.17	15:00:00	132320	132495	132270	132470	243103	850078	5
2025.03.17	16:00:00	132465	132685	132085	132195	315145	1119155	5
2025.03.17	17:00:00	132190	132390	132055	132200	209494	687423	5
2025.03.17	18:00:00	132195	132355	132165	132300	45615	125593	5
2025.03.18	09:00:00	131865	132190	131490	132045	725327	2051236	5
2025.03.18	10:00:00	132045	132740	131915	132005	1036483	3142389	5
2025.03.18	11:00:00	132005	132315	131970	132160	438701	1404677	5
2025.03.18	12:00:00	132165	132805	132065	132535	506938	1751596	5
2025.03.18	13:00:00	132530	132800	132370	132445	313288	1024414	5
2025.03.18	14:00:00	132450	133160	132400	132985	407648	1336001	5
2025.03.18	15:00:00	132980	133060	132760	132910	256899	868289	5
2025.03.18	16:00:00	132910	133040	132660	132780	255852	912255	5
2025.03.18	17:00:00	132785	132945	132665	132840	152410	494162	5
2025.03.18	18:00:00	132835	132935	132775	132830	34393	96420	5
2025.03.19	09:00:00	132540	133090	132530	133020	662306	1868827	5
2025.03.19	10:00:00	133020	133630	132780	133385	787861	2453851	5
2025.03.19	11:00:00	133390	134055	133365	133665	589224	1916986	5
2025.03.19	12:00:00	133665	133725	133425	133560	321456	1100247	5
2025.03.19	13:00:00	133565	133830	133530	133620	299275	1018097	5
2025.03.19	14:00:00	133620	133790	133255	133445	250994	850526	5
2025.03.19	15:00:00	133435	134260	133260	134240	446957	1482747	5
2025.03.19	16:00:00	134240	134320	133710	133850	350526	1191953	5
2025.03.19	17:00:00	133845	134260	133770	134120	197965	667140	5
2025.03.19	18:00:00	134125	134455	134110	134130	60701	168594	5
2025.03.20	09:00:00	133590	133600	133060	133410	601284	1729696	5
